epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4477868378162384,9.999999747378752e-05,1.2792258262634277,0.599799394607544,1.0130414962768555
1,0.639449954032898,9.999999747378752e-05,0.9191510677337646,0.668004035949707,0.8165193796157837
2,0.6974645256996155,9.999999747378752e-05,0.7653605341911316,0.7121363878250122,0.7145647406578064
3,0.7385045289993286,9.999999747378752e-05,0.6728686094284058,0.7362086176872253,0.6536259651184082
4,0.7537602186203003,9.999999747378752e-05,0.6127604246139526,0.7522567510604858,0.6091665625572205
5,0.7703050971031189,9.999999747378752e-05,0.5689592957496643,0.7562687993049622,0.5776769518852234
6,0.7773957848548889,9.999999747378752e-05,0.5396495461463928,0.7632898688316345,0.5546796917915344
7,0.7872797846794128,9.999999747378752e-05,0.5111178755760193,0.7783349752426147,0.5345434546470642
8,0.793725848197937,9.999999747378752e-05,0.4885375201702118,0.7803410291671753,0.5153023600578308
9,0.804254412651062,9.999999747378752e-05,0.47781550884246826,0.7843530774116516,0.5038536787033081
10,0.7984529733657837,9.999999747378752e-05,0.4601406455039978,0.7893680930137634,0.48992595076560974
11,0.8156424760818481,9.999999747378752e-05,0.4416978061199188,0.79438316822052,0.48063188791275024
12,0.8132789134979248,9.999999747378752e-05,0.43719568848609924,0.79438316822052,0.4687465727329254
13,0.819724977016449,9.999999747378752e-05,0.42007628083229065,0.7983951568603516,0.4642673432826996
14,0.8259561657905579,9.999999747378752e-05,0.40903663635253906,0.7983951568603516,0.4549214541912079
0,0.828964352607727,9.999999747378752e-06,0.3867608308792114,0.8204613924026489,0.4185025095939636
1,0.8358401656150818,9.999999747378752e-06,0.36383339762687683,0.8184553384780884,0.4023701846599579
2,0.8401375412940979,9.999999747378752e-06,0.34239333868026733,0.8204613924026489,0.3825455904006958
3,0.8420713543891907,9.999999747378752e-06,0.3311865031719208,0.8224673867225647,0.3737342059612274
4,0.8495917320251465,9.999999747378752e-06,0.32086876034736633,0.8254764080047607,0.3671826422214508
5,0.8489471673965454,9.999999747378752e-06,0.3089601695537567,0.8314945101737976,0.3555831015110016
6,0.8577567934989929,9.999999747378752e-06,0.2926369905471802,0.8375125527381897,0.3449710011482239
7,0.8590459823608398,9.999999747378752e-06,0.28809627890586853,0.8385155200958252,0.34232407808303833
8,0.8657069206237793,9.999999747378752e-06,0.27888745069503784,0.8375125527381897,0.3413856625556946
9,0.8685002326965332,9.999999747378752e-06,0.2757842242717743,0.841524600982666,0.33781325817108154
10,0.8695745468139648,9.999999747378752e-06,0.27222371101379395,0.841524600982666,0.3332507908344269
11,0.8721529841423035,9.999999747378752e-06,0.26003357768058777,0.8455365896224976,0.32567301392555237
12,0.8762354850769043,9.999999747378752e-06,0.2614944875240326,0.8455365896224976,0.32488542795181274
13,0.8783841729164124,9.999999747378752e-06,0.25307410955429077,0.8505516648292542,0.3213796317577362
14,0.8788139224052429,9.999999747378752e-06,0.24762843549251556,0.8505516648292542,0.3176449239253998
0,0.5599484443664551,9.999999747378752e-05,1.0588380098342896,0.6810431480407715,0.8322734236717224
1,0.7223893404006958,9.999999747378752e-05,0.7195342183113098,0.7221664786338806,0.6832812428474426
2,0.7580575942993164,9.999999747378752e-05,0.5974692106246948,0.7482447624206543,0.6131696105003357
3,0.774602472782135,9.999999747378752e-05,0.5291467308998108,0.7632898688316345,0.5645952224731445
4,0.7905027866363525,9.999999747378752e-05,0.48771870136260986,0.776328980922699,0.5317342877388
5,0.8029651641845703,9.999999747378752e-05,0.45276591181755066,0.7833500504493713,0.5040186643600464
6,0.8145681023597717,9.999999747378752e-05,0.43163982033729553,0.7903711199760437,0.48408451676368713
7,0.8205844163894653,9.999999747378752e-05,0.4063909947872162,0.8014042377471924,0.46838974952697754
8,0.8199398517608643,9.999999747378752e-05,0.39740124344825745,0.8074222803115845,0.4521354138851166
9,0.823162853717804,9.999999747378752e-05,0.38329440355300903,0.8134403228759766,0.4405716359615326
10,0.8308981657028198,9.999999747378752e-05,0.3740898072719574,0.8184553384780884,0.4319080114364624
11,0.8369144797325134,9.999999747378752e-05,0.3591679334640503,0.8184553384780884,0.42180219292640686
12,0.8450794816017151,9.999999747378752e-05,0.35262665152549744,0.823470413684845,0.4121761918067932
