epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
13,0.8405672311782837,9.999999747378752e-05,0.3541092276573181,0.8274824619293213,0.40790897607803345
14,0.8427159190177917,9.999999747378752e-05,0.3387812077999115,0.8284854292869568,0.4001440703868866
0,0.8487322926521301,9.999999747378752e-06,0.32525500655174255,0.8455365896224976,0.350117951631546
1,0.8624838590621948,9.999999747378752e-06,0.29402220249176025,0.858575701713562,0.3365826904773712
2,0.8678556084632874,9.999999747378752e-06,0.2797141373157501,0.8625877499580383,0.3138152062892914
3,0.8781692981719971,9.999999747378752e-06,0.26210373640060425,0.8665997982025146,0.3042040169239044
4,0.8788139224052429,9.999999747378752e-06,0.2534571588039398,0.8686057925224304,0.29974451661109924
5,0.8848302364349365,9.999999747378752e-06,0.23807181417942047,0.8806419372558594,0.2856961488723755
6,0.8897722363471985,9.999999747378752e-06,0.23106394708156586,0.8826479315757751,0.27493995428085327
7,0.8953588604927063,9.999999747378752e-06,0.2213694304227829,0.8916749954223633,0.27084967494010925
8,0.8977223634719849,9.999999747378752e-06,0.21472881734371185,0.8826479315757751,0.26380786299705505
9,0.898581862449646,9.999999747378752e-06,0.20955632627010345,0.8936810493469238,0.2635684907436371
10,0.9069617390632629,9.999999747378752e-06,0.19600053131580353,0.8976930975914001,0.25545620918273926
11,0.9125483632087708,9.999999747378752e-06,0.1962926834821701,0.8986960649490356,0.25183984637260437
12,0.9116888642311096,9.999999747378752e-06,0.1837431788444519,0.8996990919113159,0.2504722476005554
13,0.9131929278373718,9.999999747378752e-06,0.1843651831150055,0.8976930975914001,0.24923190474510193
14,0.9207133650779724,9.999999747378752e-06,0.1738792210817337,0.902708113193512,0.24215270578861237
